Key,Item Type,Publication Year,Author,Title,Url,Company,Model,Desired behaviour,Type of desired behaviour,Definition of desired behaviour,Source of definition,Type of source of definition,Training method for desired behaviour,Actors involved in training,Type of actor involved in training,Benchmark,Benchmark author,Benchmark author type,External evaluator,Type of external evaluator,Page
VYJXF52G,preprint,2025,"OpenAI; El-Kishky, Ahmed; Wei, Alexander; Saraiva, Andre; Minaiev, Borys; Selsam, Daniel; Dohan, David; Song, Francis; Lightman, Hunter; Clavera, Ignasi; Pachocki, Jakub; Tworek, Jerry; Kuhn, Lorenz; Kaiser, Lukasz; Chen, Mark; Schwarzer, Max; Rohaninejad, Mostafa; McAleese, Nat; contributors, o3; Mürk, Oleg; Garg, Rhythm; Shu, Rui; Sidor, Szymon; Kosaraju, Vineet; Zhou, Wenda",Competitive Programming with Large Reasoning Models,http://arxiv.org/abs/2502.06807,OpenAI,"o1, o1-ioi, o3",Advanced computational thinking,Reasoning,Solving complex algorithmic problems demands advanced computational thinking and problem solving skills.,,,"Reinforcement learning applied to large language models to ""reason"" and ""think through"" extended chains of thought; RL fine-tuning emphasizing challenging programming problems.",OpenAI,internal,CodeForces Benchmark,CodeForces,private,,,"2, 6, 10"
ZZY89RTG,webpage,2024,Gemma Team,Gemma model card,https://ai.google.dev/gemma/docs/core/model_card,Google,Gemma,"Question answering, summarization, and reasoning",General,"Ability to generate English-language text in response to the input, such as an answer to a question, or a summary of a document.",,,Pre-training and instruction tuning,Internal teams,internal,CommonsenseQA,,academic,,,
3W2UY9FD,webpage,2024,Meta,Llama 3.1 model card,https://github.com/meta-llama/llama-models/blob/main/models/llama3_1/MODEL_CARD.md,Meta,Llama 3.1,Helpfulness and safety,"Helpfulness, Safety","Align with human preferences for helpfulness and safety; respects the dignity and autonomy of all users, without insertion unnecessary judgment or normativity.","Meta internal values (openness, inclusivity and helpfulness)",internal,supervised fine-tuning (SFT) and reinforcement learning with human feedback (RLHF),,,CommonSenseQA,,academic,,,
UQB78Y8K,document,2025,Google,Gemini 1 report,,Google,Gemini Apps and Gemini API models,Instruction following,Compliance,Following a user's prompt accurately... for a diverse set of instruction following categories.,"He et al., 2023; Xu et al., 2023",academic,"Collecting data for a diverse set of instruction following categories, generate synthetic data via prompting and response editing",human raters,internal,Complex prompts evaluation,Google,internal,,,22
GIIIBG2L,document,,Anthropic,Claude 3.7 Sonnet system card,https://www-cdn.anthropic.com/9ff93dfa8f445c932415d335c88852ef47f1201e.pdf,Anthropic,Claude 3.7 Sonnet,Chain-of-thought faithfulness,Reasoning,the CoT must be a faithful and complete reflection of the way the model reached its conclusion and generated a user-facing response,"Turpin et al., 2023 / Chua and Evans, 2025",academic,developing training methods that encourage models to more fully report on all of the factors involved in obtaining final results,Anthropic,internal,CoT Faithfulness prompt pairs on MMLU and GPQA,Anthropic,internal,,,15-18
5R7U8TB8,document,2026,OpenAI,GPT-5.3-Codex System Card,,OpenAI,GPT-5.3-Codex,Safe-complete / De-escalation,,Generally provide maximally helpful support on dual-use cybersecurity topics while refusing or de-escalating operational guidance for harmful actions. Shift to 'safe-complete' for high-risk dual-use information by giving the most helpful answer without providing high-risk information.,OpenAI Cyber Model Policy,internal,Model safety training to complete dual-use requests and refuse/safe-complete for unauthorized destructive actions on third party systems.,OpenAI,internal,Cyber Safety Evaluations (Production data and Synthetic data),OpenAI,internal,,,"24, 25"
5R7U8TB8,document,2026,OpenAI,GPT-5.3-Codex System Card,,OpenAI,GPT-5.3-Codex,Destructive action avoidance,,The model's ability to preserve user-produced changes and avoid taking data-destructive actions.,,,"Reinforcement learning (RL) trained with a 'user model' that made conflicting edits over the course of rollouts, giving positive reinforcement if it did not revert the user's changes.",OpenAI,internal,Destructive action avoidance,OpenAI,internal,,,6
3W2UY9FD,webpage,2024,Meta,Llama 3.1 model card,https://github.com/meta-llama/llama-models/blob/main/models/llama3_1/MODEL_CARD.md,Meta,Llama 3.1,Helpfulness and safety,"Helpfulness, Safety","Align with human preferences for helpfulness and safety; respects the dignity and autonomy of all users, without insertion unnecessary judgment or normativity.","Meta internal values (openness, inclusivity and helpfulness)",internal,supervised fine-tuning (SFT) and reinforcement learning with human feedback (RLHF),,,DROP,,,,,
NWKEIQTV,document,2026,Anthropic,Claude Opus 4.6 System Card,https://www-cdn.anthropic.com/c788cbc0a3da9135112f97cdf6dcd06f2c16cee2.pdf,Anthropic,Claude Opus 4.6,Honesty,,"Models that provide accurate information, acknowledge uncertainty, and avoid asserting claims they cannot support; avoid hallucinating",Anthropic internal,internal,RLHF and reinforcement learning from AI feedback,"Anthropic, crowdworkers",internal,ECLeKTic,Google,private,,,78-79
FHTLRAWN,document,2025,Google,Gemini 3 Flash model card,,Google,Gemini 3 Flash,Factuality,,"Factuality benchmark across grounding, parametric, search, and MM",,,,,,FACTS Benchmark Suite,,,,,4
2SITMPRD,webpage,2025,Gemma Team,Gemma 3 model card,https://ai.google.dev/gemma/docs/core/model_card_3,Google DeepMind,Gemma 3,Factuality,Factuality,"The model's ability to provide factual accuracy, perform logical reasoning, and avoid ungrounded inferences.",,,Instruction tuning (implied for IT variants),Google DeepMind,internal,FACTS Grounding,Google,internal,,,
4WYILZ2T,document,2025,Google,Gemini 2.5 Flash-Lite Model Card,,Google,Gemini 2.5 Flash-Lite,Factuality,,,,,,,,FACTS Grounding,Google,internal,,,"4, 5"
QPXDE3M2,document,2025,Google,Gemini 2.0 Flash-Lite - Model Card,,Google,Gemini 2.0 Flash-Lite,Factuality,,Ability to provide factually correct responses given documents and diverse user requests,,,conditional pre-training; supervised fine-tuning; reinforcement learning from human and critic feedback,"internal safety, security, and responsibility teams",internal,FACTS Grounding,Google,internal,,,"4, 7"
JJDZFSBE,document,2025,Google,Gemini 2.0 Flash - Model Card,,Google,Gemini 2.0 Flash,Factuality,,Ability to provide factually correct responses given documents and diverse user requests,,,supervised fine-tuning; reinforcement learning from human and critic feedback,,,FACTS Grounding,Google,internal,,,"4, 7"
PHYRYVJT,document,2025,Google,2.5 Flash and native  capabilities –audio & image model card,,Google,Gemini 2.5 Flash,Factuality,,,,,,,,FACTS Grounding,Google,internal,,,"4, 5"
YJ2AIUGY,preprint,2025,"Singh, Aaditya; Fry, Adam; Perelman, Adam; Tart, Adam; Ganesh, Adi; El-Kishky, Ahmed; McLaughlin, Aidan; Low, Aiden; Ostrow, A. J.; Ananthram, Akhila; Nathan, Akshay; Luo, Alan; Helyar, Alec; Madry, Aleksander; Efremov, Aleksandr; Spyra, Aleksandra; Baker-Whitcomb, Alex; Beutel, Alex; Karpenko, Alex; Makelov, Alex; Neitz, Alex; Wei, Alex; Barr, Alexandra; Kirchmeyer, Alexandre; Ivanov, Alexey; Christakis, Alexi; Gillespie, Alistair; Tam, Allison; Bennett, Ally; Wan, Alvin; Huang, Alyssa; Sandjideh, Amy McDonald; Yang, Amy; Kumar, Ananya; Saraiva, Andre; Vallone, Andrea; Gheorghe, Andrei; Garcia, Andres Garcia; Braunstein, Andrew; Liu, Andrew; Schmidt, Andrew; Mereskin, Andrey; Mishchenko, Andrey; Applebaum, Andy; Rogerson, Andy; Rajan, Ann; Wei, Annie; Kotha, Anoop; Srivastava, Anubha; Agrawal, Anushree; Vijayvergiya, Arun; Tyra, Ashley; Nair, Ashvin; Nayak, Avi; Eggers, Ben; Ji, Bessie; Hoover, Beth; Chen, Bill; Chen, Blair; Barak, Boaz; Minaiev, Borys; Hao, Botao; Baker, Bowen; Lightcap, Brad; McKinzie, Brandon; Wang, Brandon; Quinn, Brendan; Fioca, Brian; Hsu, Brian; Yang, Brian; Yu, Brian; Zhang, Brian; Brenner, Brittany; Zetino, Callie Riggins; Raymond, Cameron; Lugaresi, Camillo; Paz, Carolina; Hudson, Cary; Whitney, Cedric; Li, Chak; Chen, Charles; Cole, Charlotte; Voss, Chelsea; Ding, Chen; Shen, Chen; Huang, Chengdu; Colby, Chris; Hallacy, Chris; Koch, Chris; Lu, Chris; Kaplan, Christina; Kim, Christina; Minott-Henriques, C. J.; Frey, Cliff; Yu, Cody; Czarnecki, Coley; Reid, Colin; Wei, Colin; Decareaux, Cory; Scheau, Cristina; Zhang, Cyril; Forbes, Cyrus; Tang, Da; Goldberg, Dakota; Roberts, Dan; Palmie, Dana; Kappler, Daniel; Levine, Daniel; Wright, Daniel; Leo, Dave; Lin, David; Robinson, David; Grabb, Declan; Chen, Derek; Lim, Derek; Salama, Derek; Bhattacharjee, Dibya; Tsipras, Dimitris; Li, Dinghua; Yu, Dingli; Strouse, D. J.; Williams, Drew; Hunn, Dylan; Bayes, Ed; Arbus, Edwin; Akyurek, Ekin; Le, Elaine Ya; Widmann, Elana; Yani, Eli; Proehl, Elizabeth; Sert, Enis; Cheung, Enoch; Schwartz, Eri; Han, Eric; Jiang, Eric; Mitchell, Eric; Sigler, Eric; Wallace, Eric; Ritter, Erik; Kavanaugh, Erin; Mays, Evan; Nikishin, Evgenii; Li, Fangyuan; Such, Felipe Petroski; Peres, Filipe de Avila Belbute; Raso, Filippo; Bekerman, Florent; Tsimpourlas, Foivos; Chantzis, Fotis; Song, Francis; Zhang, Francis; Raila, Gaby; McGrath, Garrett; Briggs, Gary; Yang, Gary; Parascandolo, Giambattista; Chabot, Gildas; Kim, Grace; Zhao, Grace; Valiant, Gregory; Leclerc, Guillaume; Salman, Hadi; Wang, Hanson; Sheng, Hao; Jiang, Haoming; Wang, Haoyu; Jin, Haozhun; Sikchi, Harshit; Schmidt, Heather; Aspegren, Henry; Chen, Honglin; Qiu, Huida; Lightman, Hunter; Covert, Ian; Kivlichan, Ian; Silber, Ian; Sohl, Ian; Hammoud, Ibrahim; Clavera, Ignasi; Lan, Ikai; Akkaya, Ilge; Kostrikov, Ilya; Kofman, Irina; Etinger, Isak; Singal, Ishaan; Hehir, Jackie; Huh, Jacob; Pan, Jacqueline; Wilczynski, Jake; Pachocki, Jakub; Lee, James; Quinn, James; Kiros, Jamie; Kalra, Janvi; Samaroo, Jasmyn; Wang, Jason; Wolfe, Jason; Chen, Jay; Wang, Jay; Harb, Jean; Han, Jeffrey; Wang, Jeffrey; Zhao, Jennifer; Chen, Jeremy; Yang, Jerene; Tworek, Jerry; Chand, Jesse; Landon, Jessica; Liang, Jessica; Lin, Ji; Liu, Jiancheng; Wang, Jianfeng; Tang, Jie; Yin, Jihan; Jang, Joanne; Morris, Joel; Flynn, Joey; Ferstad, Johannes; Heidecke, Johannes; Fishbein, John; Hallman, John; Grant, Jonah; Chien, Jonathan; Gordon, Jonathan; Park, Jongsoo; Liss, Jordan; Kraaijeveld, Jos; Guay, Joseph; Mo, Joseph; Lawson, Josh; McGrath, Josh; Vendrow, Joshua; Jiao, Joy; Lee, Julian; Steele, Julie; Wang, Julie; Mao, Junhua; Chen, Kai; Hayashi, Kai; Xiao, Kai; Salahi, Kamyar; Wu, Kan; Sekhri, Karan; Sharma, Karan; Singhal, Karan; Li, Karen; Nguyen, Kenny; Gu-Lemberg, Keren; King, Kevin; Liu, Kevin; Stone, Kevin; Yu, Kevin; Ying, Kristen; Georgiev, Kristian; Lim, Kristie; Tirumala, Kushal; Miller, Kyle; Ahmad, Lama; Lv, Larry; Clare, Laura; Fauconnet, Laurance; Itow, Lauren; Yang, Lauren; Romaniuk, Laurentia; Anise, Leah; Byron, Lee; Pathak, Leher; Maksin, Leon; Lo, Leyan; Ho, Leyton; Jing, Li; Wu, Liang; Xiong, Liang; Mamitsuka, Lien; Yang, Lin; McCallum, Lindsay; Held, Lindsey; Bourgeois, Liz; Engstrom, Logan; Kuhn, Lorenz; Feuvrier, Louis; Zhang, Lu; Switzer, Lucas; Kondraciuk, Lukas; Kaiser, Lukasz; Joglekar, Manas; Singh, Mandeep; Shah, Mandip; Stratta, Manuka; Williams, Marcus; Chen, Mark; Sun, Mark; Cayton, Marselus; Li, Martin; Zhang, Marvin; Aljubeh, Marwan; Nichols, Matt; Haines, Matthew; Schwarzer, Max; Gupta, Mayank; Shah, Meghan; Huang, Melody; Dong, Meng; Wang, Mengqing; Glaese, Mia; Carroll, Micah; Lampe, Michael; Malek, Michael; Sharman, Michael; Zhang, Michael; Wang, Michele; Pokrass, Michelle; Florian, Mihai; Pavlov, Mikhail; Wang, Miles; Chen, Ming; Wang, Mingxuan; Feng, Minnia; Bavarian, Mo; Lin, Molly; Abdool, Moose; Rohaninejad, Mostafa; Soto, Nacho; Staudacher, Natalie; LaFontaine, Natan; Marwell, Nathan; Liu, Nelson; Preston, Nick; Turley, Nick; Ansman, Nicklas; Blades, Nicole; Pancha, Nikil; Mikhaylin, Nikita; Felix, Niko; Handa, Nikunj; Rai, Nishant; Keskar, Nitish; Brown, Noam; Nachum, Ofir; Boiko, Oleg; Murk, Oleg; Watkins, Olivia; Gleeson, Oona; Mishkin, Pamela; Lesiewicz, Patryk; Baltescu, Paul; Belov, Pavel; Zhokhov, Peter; Pronin, Philip; Guo, Phillip; Thacker, Phoebe; Liu, Qi; Yuan, Qiming; Liu, Qinghua; Dias, Rachel; Puckett, Rachel; Arora, Rahul; Mullapudi, Ravi Teja; Gaon, Raz; Miyara, Reah; Song, Rennie; Aggarwal, Rishabh; Marsan, R. J.; Yemiru, Robel; Xiong, Robert; Kshirsagar, Rohan; Nuttall, Rohan; Tsiupa, Roman; Eldan, Ronen; Wang, Rose; James, Roshan; Ziv, Roy; Shu, Rui; Nigmatullin, Ruslan; Jain, Saachi; Talaie, Saam; Altman, Sam; Arnesen, Sam; Toizer, Sam; Toyer, Sam; Miserendino, Samuel; Agarwal, Sandhini; Yoo, Sarah; Heon, Savannah; Ethersmith, Scott; Grove, Sean; Taylor, Sean; Bubeck, Sebastien; Banesiu, Sever; Amdo, Shaokyi; Zhao, Shengjia; Wu, Sherwin; Santurkar, Shibani; Zhao, Shiyu; Chaudhuri, Shraman Ray; Krishnaswamy, Shreyas; Shuaiqi; Xia; Cheng, Shuyang; Anadkat, Shyamal; Fishman, Simón Posada; Tobin, Simon; Fu, Siyuan; Jain, Somay; Mei, Song; Egoian, Sonya; Kim, Spencer; Golden, Spug; Mah, S. Q.; Lin, Steph; Imm, Stephen; Sharpe, Steve; Yadlowsky, Steve; Choudhry, Sulman; Eum, Sungwon; Sanjeev, Suvansh; Khan, Tabarak; Stramer, Tal; Wang, Tao; Xin, Tao; Gogineni, Tarun; Christianson, Taya; Sanders, Ted; Patwardhan, Tejal; Degry, Thomas; Shadwell, Thomas; Fu, Tianfu; Gao, Tianshi; Garipov, Timur; Sriskandarajah, Tina; Sherbakov, Toki; Kaftan, Tomer; Hiratsuka, Tomo; Wang, Tongzhou; Song, Tony; Zhao, Tony; Peterson, Troy; Kharitonov, Val; Chernova, Victoria; Kosaraju, Vineet; Kuo, Vishal; Pong, Vitchyr; Verma, Vivek; Petrov, Vlad; Jiang, Wanning; Zhang, Weixing; Zhou, Wenda; Xie, Wenlei; Zhan, Wenting; McCabe, Wes; DePue, Will; Ellsworth, Will; Bain, Wulfie; Thompson, Wyatt; Chen, Xiangning; Qi, Xiangyu; Xiang, Xin; Shi, Xinwei; Dubois, Yann; Yu, Yaodong; Khakbaz, Yara; Wu, Yifan; Qian, Yilei; Lee, Yin Tat; Chen, Yinbo; Zhang, Yizhen; Xiong, Yizhong; Tian, Yonglong; Cha, Young; Bai, Yu; Yang, Yu; Yuan, Yuan; Li, Yuanzhi; Zhang, Yufeng; Yang, Yuguang; Jin, Yujia; Jiang, Yun; Wang, Yunyun; Wang, Yushi; Liu, Yutian; Stubenvoll, Zach; Dou, Zehao; Wu, Zheng; Wang, Zhigang",OpenAI GPT-5 System Card,http://arxiv.org/abs/2601.03267,OpenAI,GPT-5,factuality,,factual correctness of gpt-5-thinking and gpt-5-main on prompts representative of real ChatGPT production conversations,,,"training our models to browse effectively for up-to-date information, and on reducing hallucinations when the models are relying on their own internal knowledge",OpenAI,internal,FActScore,Meta,private,,,12
SPHVWNI7,document,2025,Google,Gemini 3 Pro Image,,Google,Gemini 3 Pro Image,Factuality,,,,,dataset filtering; conditional pre-training; supervised fine-tuning; reinforcement learning from human and critic feedback,,,Factuality set ,Google,internal,,,"4, 5, 7"
UQB78Y8K,document,2025,Google,Gemini 1 report,,Google,Gemini API models,Factuality,Knowledge,"If provided with a fact-seeking prompt without any given source, Gemini API models should not hallucinate incorrect information","Roberts et al., 2020",academic,Supervised fine-tuning (SFT) and reinforcement learning from human feedback (RLHF),human annotators,internal,Factuality set ,Google,internal,,,11-12
3GE36RMI,document,2025,Anthropic,Claude Opus 4.5 System Card,https://www-cdn.anthropic.com/bf10f64990cfda0ba858290be7b8cc6317685f47.pdf,Anthropic,Claude Opus 4.5,Honesty,,Recognize the limitations of their knowledge and not to make claims that they know to be false.,,,Honesty training,Anthropic internal teams,internal,False Premises evaluation,Anthropic,internal,,,51
FPFBD8PV,document,2026,Anthropic,Claude Sonnet 4.5 System Card,https://www-cdn.anthropic.com/963373e433e489a87a10c823c52a0a013e9172dd.pdf,Anthropic,Claude Sonnet 4.5,Honesty,,"provide accurate information and appropriately express uncertainty when it lacks knowledge... truthful, acknowledge their limitations, and avoid making claims they cannot substantiate",,,"During reinforcement learning, Claude models are trained to be honest and not to make claims that they know to be false.",Anthropic,internal,False Premises evaluation,Anthropic,internal,,,22
TEQTSYL2,document,2025,Google,Imagen 4 Model Card,,Google,Imagen 4,overall preference,Compliance,a measure of the fulfillment of the user’s intent given the generated image.,,,,,,GenAI-Bench,,,,,4
JJDZFSBE,document,2025,Google,Gemini 2.0 Flash - Model Card,,Google,Gemini 2.0 Flash,Multilingual performance,Language,MMLU translated by human translators into 15 languages. The Lite version includes 200 Culturally Sensitive and 200 Culturally Agnostic samples per language,,,supervised fine-tuning; reinforcement learning from human and critic feedback,,,Global MMLU (Lite),,,,,"4, 7"
PHYRYVJT,document,2025,Google,2.5 Flash and native  capabilities –audio & image model card,,Google,Gemini 2.5 Flash,Multilingual performance,Language,,,,,,,Global MMLU (Lite),,,,,6
FHTLRAWN,document,2025,Google,Gemini 3 Flash model card,,Google,Gemini 3 Flash,Commonsense reasoning,Reasoning,Commonsense reasoning across 100 Languages and Cultures,,,,,,Global PIQA,,,,,4
3W2UY9FD,webpage,2024,Meta,Llama 3.1 model card,https://github.com/meta-llama/llama-models/blob/main/models/llama3_1/MODEL_CARD.md,Meta,Llama 3.1,Helpfulness and safety,"Helpfulness, Safety","Align with human preferences for helpfulness and safety; respects the dignity and autonomy of all users, without insertion unnecessary judgment or normativity.","Meta internal values (openness, inclusivity and helpfulness)",internal,supervised fine-tuning (SFT) and reinforcement learning with human feedback (RLHF),,,Gorilla Benchmark API Bench,,academic,,,
D7Z5UE2D,preprint,2025,"OpenAI; Agarwal, Sandhini; Ahmad, Lama; Ai, Jason; Altman, Sam; Applebaum, Andy; Arbus, Edwin; Arora, Rahul K.; Bai, Yu; Baker, Bowen; Bao, Haiming; Barak, Boaz; Bennett, Ally; Bertao, Tyler; Brett, Nivedita; Brevdo, Eugene; Brockman, Greg; Bubeck, Sebastien; Chang, Che; Chen, Kai; Chen, Mark; Cheung, Enoch; Clark, Aidan; Cook, Dan; Dukhan, Marat; Dvorak, Casey; Fives, Kevin; Fomenko, Vlad; Garipov, Timur; Georgiev, Kristian; Glaese, Mia; Gogineni, Tarun; Goucher, Adam; Gross, Lukas; Guzman, Katia Gil; Hallman, John; Hehir, Jackie; Heidecke, Johannes; Helyar, Alec; Hu, Haitang; Huet, Romain; Huh, Jacob; Jain, Saachi; Johnson, Zach; Koch, Chris; Kofman, Irina; Kundel, Dominik; Kwon, Jason; Kyrylov, Volodymyr; Le, Elaine Ya; Leclerc, Guillaume; Lennon, James Park; Lessans, Scott; Lezcano-Casado, Mario; Li, Yuanzhi; Li, Zhuohan; Lin, Ji; Liss, Jordan; Lily; Liu; Liu, Jiancheng; Lu, Kevin; Lu, Chris; Martinovic, Zoran; McCallum, Lindsay; McGrath, Josh; McKinney, Scott; McLaughlin, Aidan; Mei, Song; Mostovoy, Steve; Mu, Tong; Myles, Gideon; Neitz, Alexander; Nichol, Alex; Pachocki, Jakub; Paino, Alex; Palmie, Dana; Pantuliano, Ashley; Parascandolo, Giambattista; Park, Jongsoo; Pathak, Leher; Paz, Carolina; Peran, Ludovic; Pimenov, Dmitry; Pokrass, Michelle; Proehl, Elizabeth; Qiu, Huida; Raila, Gaby; Raso, Filippo; Ren, Hongyu; Richardson, Kimmy; Robinson, David; Rotsted, Bob; Salman, Hadi; Sanjeev, Suvansh; Schwarzer, Max; Sculley, D.; Sikchi, Harshit; Simon, Kendal; Singhal, Karan; Song, Yang; Stuckey, Dane; Sun, Zhiqing; Tillet, Philippe; Toizer, Sam; Tsimpourlas, Foivos; Vyas, Nikhil; Wallace, Eric; Wang, Xin; Wang, Miles; Watkins, Olivia; Weil, Kevin; Wendling, Amy; Whinnery, Kevin; Whitney, Cedric; Wong, Hannah; Yang, Lin; Yang, Yu; Yasunaga, Michihiro; Ying, Kristen; Zaremba, Wojciech; Zhan, Wenting; Zhang, Cyril; Zhang, Brian; Zhang, Eddie; Zhao, Shengjia",gpt-oss-120b & gpt-oss-20b Model Card,http://arxiv.org/abs/2508.10925,OpenAI,gpt-oss-120b & gpt-oss-20b,Reasoning,Reasoning,Strong at math and knowledge-related reasoning tasks.,,,CoT RL techniques (similar to OpenAI o3) and variable effort reasoning training,OpenAI,internal,GPQA Diamond,Rein et al.,academic,,,9-11
3W2UY9FD,webpage,2024,Meta,Llama 3.1 model card,https://github.com/meta-llama/llama-models/blob/main/models/llama3_1/MODEL_CARD.md,Meta,Llama 3.1,Helpfulness and safety,"Helpfulness, Safety","Align with human preferences for helpfulness and safety; respects the dignity and autonomy of all users, without insertion unnecessary judgment or normativity.","Meta internal values (openness, inclusivity and helpfulness)",internal,supervised fine-tuning (SFT) and reinforcement learning with human feedback (RLHF),,,GPQA Diamond,Rein et al.,academic,,,
JJDZFSBE,document,2025,Google,Gemini 2.0 Flash - Model Card,,Google,Gemini 2.0 Flash,Reasoning,Reasoning,"Challenging dataset of questions written by domain experts in biology, physics, and chemistry",,,supervised fine-tuning; reinforcement learning from human and critic feedback,,,GPQA Diamond,Rein et al.,academic,,,"4, 7"
QPXDE3M2,document,2025,Google,Gemini 2.0 Flash-Lite - Model Card,,Google,Gemini 2.0 Flash-Lite,Reasoning,Reasoning,"Ability to answer questions written by domain experts in biology, physics, and chemistry",,,conditional pre-training; supervised fine-tuning; reinforcement learning from human and critic feedback,,,GPQA Diamond,Rein et al.,academic,,,"4, 7"
2SITMPRD,webpage,2025,Gemma Team,Gemma 3 model card,https://ai.google.dev/gemma/docs/core/model_card_3,Google DeepMind,Gemma 3,Factuality,Factuality,"The model's ability to provide factual accuracy, perform logical reasoning, and avoid ungrounded inferences.",,,Instruction tuning (implied for IT variants),Google DeepMind,internal,GPQA Diamond,Rein et al.,academic,,,
